	DOMINO	FUMA	DEPICT	MENDELVAR	RMA
Antigen processing and presentation	4.428832327594996	0.0	0.0	0.7725779620755483	2.1557822615519115
Tuberculosis	1.4751013679309293	0.0	0.4252303221287507	0.44654116369211466	2.5623070309248313
C-type lectin receptor signaling pathway	0.7880493409777585	0.0	0.0	0.8506627508475836	2.616921246920578
Hippo signaling pathway	0.7146800008069815	0.0	0.7540325671368284	0.3897393579730808	2.616921246920578
MAPK signaling pathway	0.6703205974611143	0.0	2.0820767922762307	0.3016926402389292	2.7118503177056423
PI3K-Akt signaling pathway	0.6205604041691738	0.0	0.9133842316416181	0.25573937856924317	1.4735462862757107
Gastric cancer	1.7287661240206453	0.0	2.234737472883845	0.34592500522717484	2.1286665996849443
Proteoglycans in cancer	1.6549044286277108	0.0	1.5812624193013234	0.3199359150140129	1.7392256974158735
Pathways in cancer	1.364666599192627	0.0	2.795924804171614	0.30913007693385836	1.7392256974158735
TGF-beta signaling pathway	0.0	0.0	2.3453323263831534	0.5176816178468743	1.9722916113230404
Signaling pathways regulating pluripotency of stem cells	0.0	0.0	0.5361088875176244	0.3540258392156709	2.7118503177056423
Mitophagy	0.0	0.0	0.0	0.5765654013492043	1.5257232890619132
Transcriptional misregulation in cancer	0.0	0.0	0.0	0.6556277184297991	1.785816855881074
Chemokine signaling pathway	0.0	0.0	0.0	0.48495187461719935	1.785816855881074
