gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
MED26	GRB2	rs34797592	rs983318	1.8469005361195092
WDR74	NIP7	rs174533	rs9924886	3.296133199448216
ATOH1	CEACAM5	rs13149359	rs1963413	1.154444517859604
MMP3	C1R	rs2186607	rs2250430	1.8161049997070768
MYO1C	CTNNAL1	rs73975586	rs10980628	2.118274232357135
ATG3	TIMM8B	rs13086367	rs3087967	2.6662877411527472
CPSF7	BRD4	rs174533	rs34797592	1.6929409797819785
SCARF1	LTBR	rs73975586	rs2250430	1.9338889117564413
DLG5	ZNF507	rs1250567	rs28840750	1.3207551417614862
DPM1	YWHAB	rs6067417	rs6031311	0.5199842688817837
BSCL2	ERGIC3	rs174533	rs6058093	1.5281565362159775
HLA-DRB1	TCF19	rs9271695	rs116353863	1.4773159387870363
DST	DHCR24	rs62404966	rs12144319	0.9360556259394901
ARFGAP1	SLC35C2	rs1741640	rs6031311	2.593021242508697
GATA3	PMEL	rs12217641	rs4759277	0.4434648446985112
ERP29	SLC39A7	rs597808	rs9271695	1.276558919771324
ACVR1	DIS3	rs448513	rs1924816	2.0999934202601924
RPL37A	RPS24	rs3731861	rs1250567	2.4665957174735755
CDCA8	BORA	rs4360494	rs78341008	2.1043909079768963
EDC4	EMC8	rs9924886	rs12447408	0.5999818487097505
TGFB1	AKAP8L	rs1963413	rs34797592	2.6443993664816734
PAN2	SMARCD1	rs4759277	rs12372718	2.7694310898024956
MRPL48	PTS	rs7121958	rs3087967	1.5087467743370153
ZNF304	EIF5A2	rs73068325	rs9876206	2.071256497656912
C1RL	SLC35D2	rs2250430	rs34405347	1.7648160811223013
RNF8	SLC2A4RG	rs9470361	rs1741640	2.1886800709490055
C6orf89	SLC39A7	rs9470361	rs9271695	0.6391427971601024
MOCS3	SNIP1	rs6067417	rs4360494	2.7976024060227647
RNF114	DSN1	rs6066825	rs6058093	0.7199782184517005
CDK2	DSN1	rs4759277	rs6058093	2.6456047242168017
SLIT1	GRIK3	rs10786560	rs4360494	1.3769944763148647
