"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6996585-<b>G</b>,"9 x 10-12",,0.23,1.43,'-,[NR],NRG1,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,8:32543285
rs12990503-<b>G</b>,"3 x 10-10",,0.63,1.38,'-,[NR],DIRC3,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,2:217429494
rs11175834-<b>T</b>,"5 x 10-7",,0.15,1.36,'-,[NR],LINC02454,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,12:65598856
rs4915076-<b>T</b>,"7 x 10-8",,0.7,1.34,'-,[NR],VAV3,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,1:107816883
rs4649295-<b>T</b>,"9 x 10-8",,0.82,1.45,'-,[NR],PCNX2,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,1:233280792
rs34081947-<b>T</b>,"2 x 10-6",,0.41,1.25,'-,[NR],LINC00609,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,14:36090325
rs1874564-<b>G</b>,"6 x 10-7",,0.69,1.31,'-,[NR],"SOWAHB, SEPTIN11","Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,4:76936952
rs9858271-<b>G</b>,"3 x 10-8",,0.43,1.3,'-,[NR],Metazoa_SRP,"Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,3:59559604
rs72753537-<b>C</b>,"5 x 10-7",,0.07,1.48,'-,[NR],"FOXE1, TRMO","Papillary thyroid cancer","papillary thyroid carcinoma",'-,GCST004753,9:97898464
rs334729-<b>G</b>,"8 x 10-7",,0.95,0.7,'-,[0.60-0.80],NFIA,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,1:61142801
rs10415826-<b>T</b>,"9 x 10-7",,0.2,1.22,'-,[1.13-1.32],ZNF257,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,19:22065515
rs7726159-<b>A</b>,"5 x 10-6",,0.35,1.17,'-,[1.09-1.25],TERT,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,5:1282204
rs17767383-<b>A</b>,"2 x 10-9",,0.32,1.23,'-,[1.15-1.33],LINC01229,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,16:79710504
rs11693806-<b>G</b>,"1 x 10-10",,0.66,0.7,'-,[0.62-0.78],DIRC3,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,2:217427435
rs1588635-<b>C</b>,"2 x 10-21",,0.55,0.61,'-,[0.55-0.68],PTCSC2,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,9:97775520
rs368187-<b>G</b>,"4 x 10-13",,0.63,1.47,'-,[1.32-1.63],"ILF2P2, LINC00609","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,14:36063370
rs116909374-<b>C</b>,"2 x 10-10",,0.94,0.43,'-,[0.33-0.55],"RN7SKP21, MBIP","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012197,14:36269155
rs1278519-<b>C</b>,"4 x 10-6",,0.52,'-,'-,'-,"FAF1, DMRTA2","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,1:50431670
rs17020149-<b>A</b>,"3 x 10-6",,0.08,'-,'-,'-,VAV3,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,1:107832667
rs7659026-<b>C</b>,"6 x 10-6",,0.6,'-,'-,'-,STOX2,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,4:183807529
rs7726159-<b>A</b>,"1 x 10-6",,0.39,'-,'-,'-,TERT,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,5:1282204
rs9399398-<b>A</b>,"5 x 10-6",,0.11,'-,'-,'-,ADGRG6,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,6:142306362
rs2727572-<b>T</b>,"2 x 10-7",,0.45,'-,'-,'-,PRKAG2,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,7:151601160
rs56864313-<b>G</b>,"8 x 10-6",,0.15,'-,'-,'-,SGCZ,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,8:15055280
rs3857927-<b>T</b>,"1 x 10-6",,0.06,'-,'-,'-,KCNQ3,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,8:132454646
rs16950982-<b>G</b>,"4 x 10-6",,0.37,'-,'-,'-,"MAF, LINC01229","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,16:79668474
rs12455644-<b>T</b>,"6 x 10-6",,0.9,'-,'-,'-,'-,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,18:40316632
rs200113618-<b>C</b>,"2 x 10-7",,0.04,'-,'-,'-,ZNF208,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST012195,19:21974056
rs4244255-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,"STN1, SLK","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,10:103959483
rs6996585-<b>G</b>,"1 x 10-10",,0.23,1.39,'-,[NR],NRG1,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,8:32543285
rs12990503-<b>G</b>,"4 x 10-9",,0.63,1.34,'-,[NR],DIRC3,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,2:217429494
rs11175834-<b>T</b>,"4 x 10-8",,0.15,1.37,'-,[NR],LINC02454,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,12:65598856
rs4915076-<b>T</b>,"8 x 10-8",,0.7,1.33,'-,[NR],VAV3,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,1:107816883
rs4649295-<b>T</b>,"6 x 10-8",,0.82,1.43,'-,[NR],PCNX2,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,1:233280792
rs34081947-<b>T</b>,"1 x 10-7",,0.41,1.27,'-,[NR],LINC00609,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,14:36090325
rs1874564-<b>G</b>,"2 x 10-7",,0.69,1.31,'-,[NR],"SOWAHB, SEPTIN11","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,4:76936952
rs9858271-<b>G</b>,"7 x 10-7",,0.43,1.26,'-,[NR],Metazoa_SRP,"Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,3:59559604
rs72753537-<b>C</b>,"8 x 10-6",,0.07,1.41,'-,[NR],"FOXE1, TRMO","Differentiated thyroid cancer","differentiated thyroid carcinoma",'-,GCST004798,9:97898464
rs11693806-<b>C</b>,"2 x 10-24",,0.319,1.43,'-,1.33-1.54,DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,2:217427435
rs2466076-<b>G</b>,"2 x 10-17",,0.484,1.32,'-,1.23-1.41,NRG1,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,8:32575278
rs1588635-<b>A</b>,"2 x 10-58",,0.396,1.69,'-,1.59-1.82,PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,9:97775520
rs368187-<b>G</b>,"5 x 10-23",,0.581,1.39,'-,1.30-1.47,"ILF2P2, LINC00609","Thyroid cancer","thyroid carcinoma",'-,GCST004144,14:36063370
rs116909374-<b>T</b>,"1 x 10-16",,0.034,1.81,'-,1.57-2.08,"RN7SKP21, MBIP","Thyroid cancer","thyroid carcinoma",'-,GCST004144,14:36269155
rs12129938-<b>A</b>,"4 x 10-11",,0.795,1.32,'-,1.20-1.43,PCNX2,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,1:233276815
rs6793295-<b>T</b>,"3 x 10-8",,0.759,1.23,'-,1.15-1.33,LRRC34,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,3:169800667
