gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
ACTL6B	CHGA	rs2897075	rs35584079	1.2824413650551487
SLC24A4	RFPL2	rs35584079	rs73158393	0.42188681741795964
MORF4L1	BTBD1	rs28534575	rs10152300	2.018643427662589
LYPLAL1	FAT2	rs79274749	rs979453	0.5399836638387754
GRB7	KRT15	rs34727469	rs62065216	1.463350239195381
ZNF319	IRF2BP1	rs12926803	rs72626215	2.673622539839457
HLA-DRB1	TCF19	rs9273404	rs4143333	1.4773159387870363
WDR59	RSPRY1	rs4888379	rs8044657	0.5399836638387754
TERF2IP	MOAP1	rs4888379	rs35584079	2.6531640898784703
PPT1	RPN1	rs76841360	rs2955083	2.199390627685331
RRAGC	SLC38A7	rs76841360	rs12926803	1.294523050817952
ACHE	SLC6A9	rs2897075	rs10890311	0.7471002970637837
LYPLAL1	TBX3	rs79274749	rs7958945	0.2519923764580952
CETP	GPR4	rs8044657	rs72626215	1.6072802945516993
ITGA2	ABLIM3	rs1551943	rs10037493	1.3333523887872842
MED7	RPS24	rs10866659	rs721917	2.6390372108422397
FBLIM1	P3H4	rs9435731	rs62065216	1.3138922483012574
SLC36A2	MYOZ1	rs979453	rs11594905	0.2892769627707725
RPL37A	RPS24	rs2571445	rs721917	2.4665957174735755
SNX18	ARMC2	rs1551943	rs2806356	1.878755395555948
SLC25A36	PRKCI	rs7650602	rs11721111	1.1570150520755966
UTP6	NPEPPS	rs8080772	rs12373142	1.8462449339742903
RAB17	LRRFIP1	rs72983853	rs13410025	0.6655050263281957
BLOC1S3	SNX11	rs72626215	rs12373142	2.0278472917380794
SOX4	ZKSCAN1	rs13198656	rs2897075	2.350511550830625
HPS6	BLOC1S3	rs1570221	rs72626215	3.600678954281053
PCSK1	RFX6	rs153916	rs674621	1.2170253304242058
ERBB2	EPHB4	rs34727469	rs2897075	2.9397257867627844
EBNA1BP2	IREB2	rs10890311	rs28534575	0.8417619584775367
SAR1B	FBXW11	rs62375246	rs12519165	2.472997417923418
UQCRQ	RPL38	rs10076733	rs9904181	1.2099159363167349
MORF4L1	MYO9A	rs28534575	rs2119568	1.5404286109363168
SEC61A1	EZH1	rs2955083	rs62065216	1.3167067213816537
INTS12	KLHL8	rs34712979	rs7671261	2.294563772695333
FKBP15	CAST	rs803923	rs153916	1.3577704493508338
STAT5B	NF1	rs62065216	rs8080772	1.8619975672137947
UNC79	CHRNB4	rs35584079	rs28534575	1.6248279123029303
ZMIZ1	CAMK2G	rs1902661	rs11594905	1.9744275071099344
COG1	RPL38	rs11655567	rs9904181	2.1356173513188375
FA2H	PLLP	rs4888379	rs8044657	1.3864136990996323
PSMD11	TEFM	rs1973252	rs8080772	1.494157285336424
METAP2	RIOK1	rs7307510	rs2076295	1.929576084478264
KCNA2	SLC25A18	rs629619	rs9617650	2.230032020383625
SLC36A2	CKM	rs979453	rs72626215	0.5142701560369289
AP4E1	WHAMM	rs4774574	rs10152300	2.1702683071274724
DOK4	USB1	rs8044657	rs12926803	0.7199782184517005
NDUFS5	NDUFB1	rs76841360	rs72699855	0.7199782184517005
CIAPIN1	VDAC2	rs8044657	rs2579762	1.3518077930222248
USP18	CD164	rs9617650	rs2806356	0.7315865880949703
TEAD1	BCAR1	rs4757118	rs4888379	2.129247614596883
PEAK1	AP4E1	rs55676755	rs4774574	1.4721328851486741
ASB1	DMAP1	rs62191105	rs10890311	2.7647755347819967
NFE2L1	CPSF3	rs12373142	rs955277	1.516732970606399
HMCES	JUP	rs2955083	rs62065216	2.0183933791928235
PSME3	USB1	rs62065216	rs12926803	1.4143621123983374
UQCRQ	MOCS2	rs10076733	rs1551943	1.4089878792300805
MYCL	FGD6	rs76841360	rs7307510	0.5720894187667007
KRTAP4-11	KRT34	rs34727469	rs62065216	5.056690762102277
RAB11FIP4	ARHGEF3	rs8080772	rs62259026	0.9914506499358959
KRT20	REP15	rs34727469	rs11049386	0.5399836638387754
WDR61	BTBD1	rs55676755	rs10152300	1.7123195015972899
