gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
NCF4	ZNF74	rs8082452	rs17268829	0.5770354455630013
MED26	GRB2	rs7709328	rs10832963	1.8469005361195092
IL12RB1	NCF4	rs117758012	rs8082452	2.067170308882951
ETS1	FLI1	rs34207738	rs34331122	2.3825154627445637
ACTL6B	CHGA	rs4865169	rs7297051	1.2824413650551487
MPC1	MKLN1	rs142471995	rs45509595	0.39598802014843526
CRLS1	PCNA	rs67397200	rs201177249	1.7998797782350964
TRIAP1	COIL	rs199501877	rs71386921	1.3397211529308657
GALNT15	SPARCL1	rs505372	rs6432241	2.511924852877054
POLR2L	RPLP2	rs368131309	rs76340606	2.752359751459643
SMG5	C1orf43	rs2045438	rs375066	1.5528300904577603
SLF2	ZCWPW1	rs6597981	rs6904031	0.9374542551893512
SSB	TCOF1	rs10623258	rs1697139	1.5350277269962058
PITPNB	MIEF1	rs13079292	rs6710503	1.1728057836467376
GZMA	IL2RB	rs57275132	rs745570	2.009070903216494
PCGF6	GBF1	rs142471995	rs172032	1.759070192652937
NUBP1	ZBTB4	rs62061734	rs187201341	0.9190955931952409
BRIP1	CKS1B	rs142471995	rs68006638	2.0800185728756513
CIC	DEDD2	rs4674124	rs5780403	0.9240246134449321
FLT3	FRY	rs61495451	rs3057314	1.4156130927923718
ANKRD16	PRPF18	rs7017073	rs60504827	4.061877136538875
MRGPRX4	CIITA	rs117911427	rs16991615	2.2504097842448307
G6PC3	UNC93B1	rs6558174	rs77688320	0.5399836638387754
COIL	NUP85	rs71386921	rs7937840	1.939580732412182
FAXDC2	ADIPOR1	rs144366570	rs4233486	2.536338421897682
SNX6	ADAP2	rs117758012	rs16952006	1.1075127709565171
SSR1	MSTO1	rs11039183	rs62084913	1.5729779365962007
NCF1C	GNGT2	rs13195401	rs201073821	0.5399836638387754
SLC25A13	BUD31	rs375066	rs117618124	1.1175862538711052
SLF2	PCGF6	rs6597981	rs142471995	2.2705202194722505
TTF2	PAICS	rs6938	rs8137282	2.0233398931722615
NIPAL1	SLC22A5	rs6507583	rs643506	3.325755452998727
PTPN22	PLEK	rs6762644	rs9578106	2.1697856640241424
PHLDA2	SEH1L	rs7258465	rs704010	0.35998910922585026
HAUS8	FBXO43	rs10623258	rs117911427	2.6966113036287327
FBXW9	LSM7	rs375066	rs2432539	2.3166618321139048
BTBD2	SGSM2	rs10016947	rs12920416	0.5399836638387754
LMOD1	IL17B	rs6796502	rs11779988	0.4679858419936053
SATB2	NT5C1A	rs6818581	rs1855581	0.47998547896780036
DUSP22	RABIF	rs745570	rs66849333	0.47998547896780036
SH3RF3	PAG1	rs150537328	rs4820318	1.7915351917129108
PRPSAP1	SUMO2	rs2432539	rs1973765	1.362451819215742
TTK	CENPE	rs58327846	rs8027365	2.992252672737167
SMC2	SASS6	rs2290203	rs185004002	3.577234847427766
RRAGA	NDUFB6	rs10811650	rs57275132	0.7823081873630763
RBX1	RPL26	rs11410354	rs4865169	3.34305003531823
ATP8B2	MFAP2	rs6796502	rs250677	1.5145995005175044
ISL1	VAX1	rs1894633	rs16342	2.89460777177565
NIN	CENPE	rs140494697	rs8027365	2.3391998911706753
SLC2A1	FGF11	rs16342	rs117758012	1.6829834220625717
ANGPTL1	MYOC	rs1937680	rs12962334	2.4711748324198437
CSNK1G2	SIN3B	rs72856431	rs77554484	1.683852357658322
POU2F1	UBR4	rs9882792	rs745570	1.4869505537751997
TTC1	PSMD13	rs10883710	rs151329939	0.6133147786810782
IMPACT	ZNF24	rs11264454	rs1230666	3.1037828264174463
SPARCL1	OGN	rs6432241	rs6596100	1.411852864897841
ANKRD16	PELI3	rs7017073	rs4774565	2.052337119612808
RSRC1	COIL	rs6890270	rs71386921	5.237896149503455
ZNF184	ZNF555	rs377629160	rs10022462	3.0078253573193896
CDK2AP2	GFPT1	rs3129984	rs12422552	0.6775688375935203
MEIS1	KCNN4	rs62084913	rs71063528	0.681140722645699
MYO9B	SLC27A1	rs13230714	rs12048493	1.1922073502241628
SETDB1	PRPF3	rs28512361	rs12918713	1.522358581040155
NDUFB2	ZNHIT1	rs16342	rs57275132	3.0292387623602632
PGLS	RNH1	rs35383942	rs113410521	1.2680890913070724
MAST3	GDPGP1	rs11552449	rs1172821	1.123370632417984
VPS45	UBAP2L	rs3815308	rs151329939	1.3047567818874821
PTPN2	MIEF1	rs970821	rs6710503	1.3152118199543295
THOC6	ARFGAP2	rs10760444	rs3903072	2.4266703090193813
RHOBTB1	ATP10D	rs199501877	rs57275132	2.4467130730469693
OPA3	ZNF526	rs56278937	rs56077980	1.7153369549662036
NPEPPS	ARL17A	rs57237364	rs1268974	0.5759825747613604
NUDT9	NOA1	rs10269006	rs3129984	1.5007680585108536
ALYREF	SRRT	rs150537328	rs738321	2.8522031585366108
MCM10	SMC2	rs57275132	rs2290203	3.1320993389890215
PPP6R3	RNASEH2C	rs73077323	rs2290203	0.5399836638387754
TPR	BAZ2B	rs1172821	rs12207986	2.2283963772858666
PGLS	COPE	rs35383942	rs58327846	0.7199782184517005
ARHGEF5	MPZL2	rs1855581	rs199498	0.20999364704841264
UQCRH	TOMM7	rs289997	rs34331122	0.9173905493832184
UBE2T	TICRR	rs800132	rs16952006	2.754473145657361
GPSM2	DBF4B	rs7904519	rs186036693	2.7246362198123455
ZWILCH	CENPN	rs76340606	rs11646723	0.5399836638387754
CBX7	STK11	rs11627032	rs2617583	1.891579955434141
NAA16	PDS5B	rs72396995	rs1293906	1.5783043523203546
BRIP1	TLK2	rs142471995	rs71338792	2.5622885297024407
ZBTB16	SHMT1	rs368032757	rs9693444	1.715006185943703
KLHDC8B	OPN3	rs71695136	rs4865169	0.2836277830264275
ETS1	GJC1	rs34207738	rs140494697	1.5242443164439285
SYVN1	TJAP1	rs5776993	rs2617583	0.6217993704810141
CREBBP	ASXL2	rs78269692	rs1172821	3.000879807834001
SLC25A10	LRP5	rs1172821	rs184886	0.08639738621420406
ASAH1	PAG1	rs11652463	rs4820318	1.5184712001747327
SPARCL1	GJA1	rs6432241	rs140494697	0.7283253718350037
REEP5	CALM1	rs4593472	rs140494697	1.411393658394875
ITGA2	ABLIM3	rs7937840	rs12918713	1.3333523887872842
GSTZ1	MEPCE	rs58058861	rs201177249	1.8171238862458337
TVP23A	CD83	rs201177249	rs6473252	0.47998547896780036
ANO8	GMIP	rs35306388	rs16952006	0.37798856468714276
CCR5	CD300LF	rs11652463	rs4496150	2.3824637666832804
UBE3D	SEH1L	rs7297051	rs704010	2.907695746243659
LIF	FOSB	rs250677	rs11146838	2.9461153641678965
TBX15	IRX5	rs12718945	rs142471995	1.466173164995959
TINAG	INPP5F	rs1172821	rs12904134	0.49089423985343217
LGR6	TGFBR3	rs68006638	rs250677	2.791394350387937
FOSL1	CARD19	rs142471995	rs206966	0.8500968617669218
KAZALD1	SMAD6	rs6940159	rs58685532	1.808976682918052
STAT5B	SUCO	rs201462698	rs9485372	2.2917284928732684
SACS	PDS5B	rs745570	rs1293906	1.2552881518650034
ATG13	API5	rs71338792	rs34331122	0.6955337959911178
TOPORS	RRAGA	rs7017073	rs10811650	2.7381079524441603
SACS	AKAP11	rs745570	rs3903072	0.720965284828239
SSR2	RUSC1	rs16342	rs12920416	0.7199782184517005
FKBP15	SNX30	rs2295389	rs113577745	1.3850205892813652
HPSE	GPAT3	rs34207738	rs113953597	1.8438526831201079
NET1	FCMR	rs1783730	rs71338792	2.306819570411673
POLE3	C9orf78	rs9619765	rs6805189	2.0191386970034313
CCDC130	TNPO2	rs71281886	rs117911427	0.5399836638387754
DNAAF3	PRKCG	rs9959491	rs10022462	0.4885566482350825
CUEDC2	PRDX3	rs151090251	rs2432539	1.7900806060318935
ENO1	SLC25A33	rs4593472	rs930395	2.0710672583452423
DPT	GPR68	rs7017697	rs1172821	0.5999818487097505
HOXB4	HOXB8	rs66823261	rs1133071	2.480830058163775
PTPRH	TMPRSS4	rs17598658	rs3129984	1.928444466201368
FST	PTX3	rs71281886	rs1514964	2.2690906564041904
FGD2	BMP1	rs67500807	rs3124765	1.5470043486992726
CSRP3	SLC29A2	rs117758012	rs76007978	2.0418123819281035
CYCS	MPC1	rs643506	rs142471995	0.4371296326313896
KIF20B	CDCA5	rs35072154	rs113289039	2.718709131971685
FXYD6	SPARCL1	rs3057314	rs6432241	0.3299900167903628
KIF18A	MCM7	rs66849333	rs80199833	2.081094758935421
TAF6	WBP2	rs181270898	rs16889471	1.6632284675645697
REEP6	NLGN2	rs6940159	rs36715	2.1712993871110062
KIF11	CDC25A	rs68056147	rs62237615	2.5094947568066663
CTTN	UBASH3A	rs71338792	rs3129984	0.7108147478884865
CCR5	ARHGEF15	rs11652463	rs62084913	0.9016951700762041
DSCC1	AURKA	rs71338792	rs34331122	1.8005205274399843
MGP	TGFB3	rs800132	rs57275132	1.882550401061422
STX10	DDA1	rs2303282	rs35072154	0.7475916745548412
WDR6	GCN1	rs16952006	rs71338792	0.8850946618657451
PDAP1	PEX1	rs72856431	rs7937840	2.4470785904584074
CDCA5	AURKA	rs113289039	rs34331122	3.7909575105521798
FGFRL1	ZFYVE28	rs10069690	rs3903072	0.8114560953229708
MPC2	DCAF6	rs75915166	rs2405064	0.5399836638387754
UBE3D	USP45	rs7297051	rs11646723	3.5294722975441277
ATG13	DEAF1	rs71338792	rs4594370	1.3948025663877748
CPSF3	PSMC2	rs73161324	rs12920416	1.5663701318896106
ARHGAP24	TBX18	rs66849333	rs150537328	1.311161922344417
TIPIN	PAICS	rs6818581	rs8137282	1.8980921124153103
PPARGC1B	CLUH	rs150537328	rs12920416	0.4319869310710203
MTA2	MUS81	rs9619765	rs1450985	2.1893730944668954
PRKG1	PDK4	rs616488	rs5780403	1.7720718909417588
LMOD1	CAP2	rs6796502	rs745570	1.1059593757928399
CCNK	SF3A2	rs201177249	rs616488	2.2917494536713225
PTPN21	TRIM38	rs12920416	rs8082452	1.7980729848332144
LILRA1	FCGR1B	rs6432241	rs113855064	1.919556689067332
CDK5RAP3	SP2	rs11406084	rs9379084	2.8247040973979787
OAZ1	NCLN	rs73077323	rs368131309	0.9541133416822674
MTX1	RBM6	rs10883710	rs11646723	0.7199782184517005
PRCC	DAP3	rs16952006	rs7529522	2.97351290320988
TAC1	RAB3C	rs8137282	rs3116813	0.5829135451353147
IQGAP3	EXO1	rs643506	rs11646723	0.6926576794579853
SNTG1	ACSL6	rs142471995	rs10623258	0.6479803966065305
CCNB1	IQGAP3	rs8082452	rs643506	2.0750930840575927
NFASC	ACSL6	rs142890050	rs10623258	0.5279840268645803
SAMD1	WIZ	rs9323635	rs34662244	3.3609485975908795
NDUFS8	SF3B2	rs4594370	rs117698693	1.146738186729023
TFF2	CYP3A5	rs1172821	rs3815308	1.4388947512820822
PDCD11	GPAM	rs3815308	rs3903072	1.482490394924151
CYP51A1	ABCA1	rs10623258	rs10832963	2.2215026740153774
GPR107	GOSR1	rs11410354	rs12048493	2.627092901372065
SNRPE	PIGC	rs4971059	rs8050871	2.700641013375777
RERG	SYT12	rs368032757	rs4496150	1.5426207219519346
PTPN9	ADD1	rs6558174	rs6596100	2.09344593601146
NCF4	LSP1	rs8082452	rs6815814	2.1413333457432686
GTPBP1	SF3A1	rs67079557	rs3129984	2.313954462927904
TIPIN	CSNK1D	rs6818581	rs34853779	2.605986848299194
PPP1CA	SGSM2	rs1172821	rs12920416	1.3406392952385942
C6orf89	POLH	rs1172821	rs4820318	2.086064415551346
LRRN1	CRISPLD1	rs61729152	rs140945602	1.6492945883296202
STRN3	AMFR	rs181337095	rs34853779	2.177344297129686
KLF3	ZNF74	rs6562760	rs17268829	1.6634212480394461
COL9A2	NFKBIA	rs11039183	rs7529522	0.29999092435487523
