CHR_ID	CHR_POS	SNPS	P-VALUE
16	86220445	rs847208	6E-06
16	86304682	rs7206216	4E-12
16	86670343	rs62042090	2E-12
17	906403	rs4968127	5E-21
17	932131	rs11247566	7E-09
17	10803924	rs1078643	2E-27
17	72417112	rs983318	7E-12
17	83095585	rs35204860	3E-25
18	3616780	rs1791373	1E-08
18	48925957	rs2337113	3E-150
19	5840915	rs10409772	1E-10
19	16306387	rs34797592	9E-15
19	33029021	rs28840750	4E-41
19	41354391	rs1800469	8E-15
19	48715345	rs12979278	8E-07
19	58506273	rs11670192	3E-11
20	6395834	rs966816	2E-38
20	6622975	rs994308	7E-24
20	6718948	rs4813802	8E-30
20	6781574	rs28488	7E-13
20	7831703	rs2423279	2E-24
20	34599326	rs6059938	8E-08
20	43904181	rs6065668	6E-07
20	44029634	rs6017248	2E-11
20	48723580	rs6066825	2E-32
13	33519381	rs10161980	6E-13
13	36917513	rs12427846	2E-21
13	73075014	rs45597035	6E-15
13	73217417	rs78341008	7E-14
13	73412491	rs1886450	2E-12
13	78027278	rs9318511	6E-09
13	109700504	rs1078563	6E-09
13	110426525	rs4600332	1E-10
14	50892940	rs28611105	7E-09
14	52024937	rs1497077	4E-08
14	53952388	rs35107139	7E-31
14	53978439	rs4901473	3E-10
14	58722643	rs17094983	2E-07
14	58741719	rs8020436	1E-14
14	99316600	rs80158569	2E-07
15	32707605	rs1554865	1E-53
15	32717373	rs1919364	1E-24
15	32864185	rs17816465	6E-20
15	66707779	rs3809570	9E-12
15	67110486	rs56324967	1E-13
15	67783360	rs77148098	1E-09
15	72216458	rs8031386	5E-09
15	90642059	rs71407320	4E-08
16	68710036	rs9924886	5E-14
16	80002943	rs3936188	1E-24
11	61785208	rs174537	2E-21
11	70092327	rs10751097	2E-12
11	74653521	rs11236187	7E-32
11	74917698	rs117042741	1E-30
11	100846405	rs55864876	7E-07
11	101745280	rs2155065	3E-08
11	111286111	rs3087967	1E-57
11	118887380	rs497916	3E-08
12	4259186	rs10774214	4E-11
12	4279105	rs3217810	5E-27
12	4291642	rs3217874	4E-25
12	6276561	rs10849432	6E-10
12	6297878	rs10849434	5E-18
12	31441879	rs77969132	4E-06
12	42736822	rs2730985	1E-16
12	50823107	rs11169572	2E-31
12	57147065	rs7398375	4E-19
12	64010775	rs7297628	1E-08
12	71124549	rs11178634	1E-11
12	95657111	rs11108175	1E-15
12	111569952	rs653178	3E-24
12	114660289	rs9634162	1E-10
12	115453117	rs7300312	1E-20
12	115496195	rs7299936	8E-15
13	26969056	rs116964464	5E-09
3	66393906	rs67550176	1E-08
3	113185041	rs13086367	2E-16
3	113198071	rs12635946	2E-16
3	113280713	rs72942485	9E-14
3	133982275	rs10049390	5E-14
3	134029945	rs113569514	2E-21
3	169774313	rs10936599	1E-13
4	94016709	rs280097	4E-12
4	105210053	rs2007403	3E-14
4	114581250	rs2388976	2E-08
4	144737912	rs11727676	1E-13
4	150580056	rs10006803	3E-08
4	174499372	rs1426947	7E-10
5	1240883	rs77776598	5E-19
5	1296371	rs2735940	6E-36
5	40090682	rs55810369	7E-12
7	73752929	rs12539962	3E-08
7	99879803	rs2527927	3E-10
6	45604334	rs57939401	4E-10
6	55712416	rs2208603	4E-12
6	55847326	rs62404966	1E-15
6	55856504	rs6912214	1E-10
6	105519019	rs6928864	9E-07
6	106034738	rs145997965	1E-08
6	117487868	rs6911915	4E-12
20	50370030	rs6012915	7E-19
20	50443654	rs6095946	6E-23
20	50639748	rs6091189	4E-06
20	57256147	rs6014965	4E-12
20	62357358	rs1741640	8E-55
20	63677259	rs2738783	2E-10
21	46352525	rs9983528	5E-13
22	29010088	rs4616575	1E-10
22	39248268	rs130651	3E-10
22	43293536	rs5751474	2E-08
22	43382425	rs34256596	2E-07
22	45349348	rs9614460	2E-09
22	45968311	rs9330814	2E-09
X	9795858	rs2732875	8E-12
6	133672787	rs151127921	3E-08
7	2823655	rs1182197	5E-09
7	45110732	rs7810512	2E-11
